29.2857142857143,2.8
30.7142857142858,2.9
32.1428571428572,3
33.5714285714286,3.1
35,3.2
36.4285714285715,3.3
37.8571428571429,3.4
39.2857142857143,3.5
41.1111111111112,3.6
43.3333333333333,3.7
45.5555555555555,3.8
47.7777777777777,3.9
49.9999999999999,4
59.9999999999998,4.1
70.0000000000004,4.2
73.3333333333333,4.3
60.0000000000005,4.4
86.6666666666654,4.5
105,4.6
111.111111111111,4.7
113.333333333333,4.8
115.555555555556,4.9
117.777777777778,5
120,5.1
131,5.2
133,5.3
135,5.4
137,5.5
139,5.6
142.5,5.7
147.5,5.8
152.5,5.9
