25.9999999999999,3.7
29.9999999999999,3.8
33.9999999999999,3.9
37.9999999999999,4
42,4.1
46,4.2
50,4.3
54.9999999999998,4.4
59.9999999999996,4.5
40.0000000000011,4.6
60.0000000000001,4.7
79.9999999999993,4.8
85,4.9
90,5
91.8181818181819,5.1
93.6363636363637,5.2
95.4545454545455,5.3
97.2727272727273,5.4
99.0909090909092,5.5
105,5.6
111.25,5.7
113.75,5.8
116.25,5.9
118.75,6
123.333333333333,6.1
130,6.2
132.857142857143,6.3
135.714285714286,6.4
138.571428571429,6.5
143.333333333333,6.6
150,6.7
156.666666666667,6.8
