OpenTime,ScaleReading,nReps
30,0.080000000000000002,100
40,0.17999999999999999,100
50,0.28999999999999998,100
60,0.39000000000000001,100
70,0.5,100
80,0.60999999999999999,100
90,0.72999999999999998,100
100,0.83999999999999997,100
110,0.94999999999999996,100
120,1.0700000000000001,100
130,1.1599999999999999,100
140,1.27,100
150,1.3899999999999999,100
150,1.51,100
140,1.6200000000000001,100
130,1.74,100
120,1.8300000000000001,100
110,1.95,100
100,2.04,100
90,2.1499999999999999,100
80,2.2400000000000002,100
70,2.3300000000000001,100
60,2.4199999999999999,100
50,2.5099999999999998,100
40,2.6000000000000001,100
30,2.6899999999999999,100
