Stimulus,Dist 1,Dist 2
0,5.263157895,5.263157895
1,5.263157895,5.263157895
2,5.263157895,5.263157895
3,5.263157895,5.263157895
4,5.263157895,5.263157895
5,5.263157895,5.263157895
6,5.263157895,5.263157895
7,5.263157895,5.263157895
8,5.263157895,5.263157895
9,5.263157895,5.263157895
10,5.263157895,5.263157895
11,5.263157895,5.263157895
12,5.263157895,5.263157895
13,5.263157895,5.263157895
14,5.263157895,5.263157895
15,5.263157895,5.263157895
16,5.263157895,5.263157895
17,5.263157895,5.263157895
18,5.263157895,5.263157895
